ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-01-01,3.0977319999999997,1.338812551764842,4.583419398570745,3.0977319999999997,3.0977319999999997,-0.1957219755505728,-0.1957219755505728,-0.1957219755505728,-0.024979460000018546,-0.024979460000018546,-0.024979460000018546,-0.17074251555055428,-0.17074251555055428,-0.17074251555055428,0.0,0.0,0.0,2.902010024449427
2009-01-05,3.095659868615649,1.2740155372278616,4.517838908908684,3.095659868615649,3.095659868615649,-0.1931362755487408,-0.1931362755487408,-0.1931362755487408,-0.004583745638546122,-0.004583745638546122,-0.004583745638546122,-0.18855252991019467,-0.18855252991019467,-0.18855252991019467,0.0,0.0,0.0,2.9025235930669084
2009-01-07,3.0946238029234734,1.251717901245936,4.689368773411355,3.0946238029234734,3.0946238029234734,-0.22223535247693793,-0.22223535247693793,-0.22223535247693793,-0.02281608853126036,-0.02281608853126036,-0.02281608853126036,-0.1994192639456776,-0.1994192639456776,-0.1994192639456776,0.0,0.0,0.0,2.8723884504465356
2009-01-08,3.0941057700773857,1.2576718461022254,4.420957550646207,3.0941057700773857,3.0941057700773857,-0.23041476567491864,-0.23041476567491864,-0.23041476567491864,-0.024979459999900883,-0.024979459999900883,-0.024979459999900883,-0.20543530567501775,-0.20543530567501775,-0.20543530567501775,0.0,0.0,0.0,2.863691004402467
2009-01-09,3.093587737231298,1.344505257040757,4.673886224428645,3.093587737231298,3.093587737231298,-0.13929861146832592,-0.13929861146832592,-0.13929861146832592,0.07256050796564979,0.07256050796564979,0.07256050796564979,-0.21185911943397567,-0.21185911943397567,-0.21185911943397567,0.0,0.0,0.0,2.954289125762972
2009-01-10,3.0930697043852104,1.3274537873386771,4.42687509344646,3.0930697043852104,3.0930697043852104,-0.22955054550510323,-0.22955054550510323,-0.22955054550510323,-0.010855910344287898,-0.010855910344287898,-0.010855910344287898,-0.21869463516081533,-0.21869463516081533,-0.21869463516081533,0.0,0.0,0.0,2.8635191588801074
2009-01-11,3.092551671539123,1.0625049840790834,4.502470287463559,3.092551671539123,3.092551671539123,-0.2775134011248971,-0.2775134011248971,-0.2775134011248971,-0.05157742454725528,-0.05157742454725528,-0.05157742454725528,-0.2259359765776418,-0.2259359765776418,-0.2259359765776418,0.0,0.0,0.0,2.8150382704142256
2009-01-12,3.092033638693035,1.237481466834021,4.534212490139127,3.092033638693035,3.092033638693035,-0.23815035463154305,-0.23815035463154305,-0.23815035463154305,-0.004583745638455878,-0.004583745638455878,-0.004583745638455878,-0.23356660899308718,-0.23356660899308718,-0.23356660899308718,0.0,0.0,0.0,2.8538832840614923
2009-01-13,3.091515605846947,1.2487940675897253,4.712773874427394,3.091515605846947,3.091515605846947,-0.19930665331362946,-0.19930665331362946,-0.19930665331362946,0.042252121095806124,0.042252121095806124,0.042252121095806124,-0.24155877440943557,-0.24155877440943557,-0.24155877440943557,0.0,0.0,0.0,2.8922089525333177
2009-01-14,3.0909975730008594,1.269605635784656,4.495015438348618,3.0909975730008594,3.0909975730008594,-0.2726893371226455,-0.2726893371226455,-0.2726893371226455,-0.022816088531060028,-0.022816088531060028,-0.022816088531060028,-0.24987324859158547,-0.24987324859158547,-0.24987324859158547,0.0,0.0,0.0,2.818308235878214
2009-01-15,3.0904795401547718,1.1038270758007032,4.471331699467482,3.0904795401547718,3.0904795401547718,-0.28343890623029216,-0.28343890623029216,-0.28343890623029216,-0.024979460000097455,-0.024979460000097455,-0.024979460000097455,-0.2584594462301947,-0.2584594462301947,-0.2584594462301947,0.0,0.0,0.0,2.8070406339244798
2009-01-16,3.089961507308684,1.266504179806535,4.4760430773825854,3.089961507308684,3.089961507308684,-0.19469538268391218,-0.19469538268391218,-0.19469538268391218,0.0725605079656286,0.0725605079656286,0.0725605079656286,-0.2672558906495408,-0.2672558906495408,-0.2672558906495408,0.0,0.0,0.0,2.895266124624772
2009-01-17,3.0894434744625965,1.149586357009918,4.52365293228142,3.0894434744625965,3.0894434744625965,-0.28704696426403403,-0.28704696426403403,-0.28704696426403403,-0.01085591034436235,-0.01085591034436235,-0.01085591034436235,-0.27619105391967164,-0.27619105391967164,-0.27619105391967164,0.0,0.0,0.0,2.8023965101985624
