ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-01-01,3.38148,1.6766166877144313,5.10255972041041,3.38148,3.38148,-0.14377953327205395,-0.14377953327205395,-0.14377953327205395,0.009747048000034227,0.009747048000034227,0.009747048000034227,-0.15352658127208818,-0.15352658127208818,-0.15352658127208818,0.0,0.0,0.0,3.237700466727946
2009-01-04,3.3797666687306505,1.4312893119981265,4.864728842949886,3.3797666687306505,3.3797666687306505,-0.23351089672631736,-0.23351089672631736,-0.23351089672631736,-0.017271831660602706,-0.017271831660602706,-0.017271831660602706,-0.21623906506571466,-0.21623906506571466,-0.21623906506571466,0.0,0.0,0.0,3.146255772004333
2009-01-05,3.379195558307533,1.4141256412169272,4.885126048536519,3.379195558307533,3.379195558307533,-0.25425035580941835,-0.25425035580941835,-0.25425035580941835,-0.016420379824880357,-0.016420379824880357,-0.016420379824880357,-0.23782997598453798,-0.23782997598453798,-0.23782997598453798,0.0,0.0,0.0,3.1249452024981146
2009-01-06,3.3786244478844165,1.2198138302272148,4.764947704755999,3.3786244478844165,3.3786244478844165,-0.3474561358619971,-0.3474561358619971,-0.3474561358619971,-0.08824033370252463,-0.08824033370252463,-0.08824033370252463,-0.2592158021594725,-0.2592158021594725,-0.2592158021594725,0.0,0.0,0.0,3.0311683120224195
2009-01-07,3.3780533374613,1.4148515157260757,4.8167725601363625,3.3780533374613,3.3780533374613,-0.2824038493736965,-0.2824038493736965,-0.2824038493736965,-0.0023181463218065034,-0.0023181463218065034,-0.0023181463218065034,-0.28008570305188996,-0.28008570305188996,-0.28008570305188996,0.0,0.0,0.0,3.0956494880876035
2009-01-08,3.3774822270381835,1.4430030658437296,4.848397181584688,3.3774822270381835,3.3774822270381835,-0.29040251679157003,-0.29040251679157003,-0.29040251679157003,0.009747047999971873,0.009747047999971873,0.009747047999971873,-0.3001495647915419,-0.3001495647915419,-0.3001495647915419,0.0,0.0,0.0,3.0870797102466137
2009-01-09,3.3769111166150667,1.320563861443211,4.895235808642863,3.3769111166150667,3.3769111166150667,-0.24297980957039605,-0.24297980957039605,-0.24297980957039605,0.07616366134731664,0.07616366134731664,0.07616366134731664,-0.31914347091771267,-0.31914347091771267,-0.31914347091771267,0.0,0.0,0.0,3.1339313070446706
2009-01-10,3.3763400061919504,1.373283252404597,4.741676397140564,3.3763400061919504,3.3763400061919504,-0.2984945580973371,-0.2984945580973371,-0.2984945580973371,0.038339982162360974,0.038339982162360974,0.038339982162360974,-0.33683454025969806,-0.33683454025969806,-0.33683454025969806,0.0,0.0,0.0,3.0778454480946134
2009-01-12,3.3751977853457173,1.1679848810447806,4.5365185590553505,3.3751977853457173,3.3751977853457173,-0.3839760468533643,-0.3839760468533643,-0.3839760468533643,-0.016420379824873436,-0.016420379824873436,-0.016420379824873436,-0.3675556670284908,-0.3675556670284908,-0.3675556670284908,0.0,0.0,0.0,2.991221738492353
2009-01-13,3.3746266749226,1.084586471469682,4.583743562119982,3.3746266749226,3.3746266749226,-0.46854835048445465,-0.46854835048445465,-0.46854835048445465,-0.08824033370248974,-0.08824033370248974,-0.08824033370248974,-0.38030801678196485,-0.38030801678196485,-0.38030801678196485,0.0,0.0,0.0,2.9060783244381456
2009-01-15,3.373484454076367,1.282137985393205,4.734469396351777,3.373484454076367,3.373484454076367,-0.3904696983719331,-0.3904696983719331,-0.3904696983719331,0.009747048000063884,0.009747048000063884,0.009747048000063884,-0.4002167463719971,-0.4002167463719971,-0.4002167463719971,0.0,0.0,0.0,2.983014755704434
2009-01-16,3.3729133436532504,1.2332482172982155,4.841449737524968,3.3729133436532504,3.3729133436532504,-0.33118596919070264,-0.33118596919070264,-0.33118596919070264,0.07616366134727366,0.07616366134727366,0.07616366134727366,-0.4073496305379763,-0.4073496305379763,-0.4073496305379763,0.0,0.0,0.0,3.041727374462548
2009-01-17,3.372342233230134,1.3368457690738555,4.790901720276145,3.372342233230134,3.372342233230134,-0.3743156164899375,-0.3743156164899375,-0.3743156164899375,0.038339982162379736,0.038339982162379736,0.038339982162379736,-0.41265559865231716,-0.41265559865231716,-0.41265559865231716,0.0,0.0,0.0,2.9980266167401965
2009-01-18,3.3717711228070177,1.2090533377347599,4.51255769025554,3.3717711228070177,3.3717711228070177,-0.43349652669572236,-0.43349652669572236,-0.43349652669572236,-0.01727183166036199,-0.01727183166036199,-0.01727183166036199,-0.4162246950353604,-0.4162246950353604,-0.4162246950353604,0.0,0.0,0.0,2.9382745961112953
2009-01-19,3.371200012383901,1.2355242364151537,4.66253941471384,3.371200012383901,3.371200012383901,-0.43460350518749846,-0.43460350518749846,-0.43460350518749846,-0.016420379824999054,-0.016420379824999054,-0.016420379824999054,-0.4181831253624994,-0.4181831253624994,-0.4181831253624994,0.0,0.0,0.0,2.9365965071964024
2009-01-20,3.3706289019607842,1.0156806359068986,4.592944092997727,3.3706289019607842,3.3706289019607842,-0.5069298372225306,-0.5069298372225306,-0.5069298372225306,-0.08824033370249965,-0.08824033370249965,-0.08824033370249965,-0.41868950352003087,-0.41868950352003087,-0.41868950352003087,0.0,0.0,0.0,2.8636990647382534
2009-01-21,3.3700577915376675,1.2328536285001819,4.621284078875197,3.3700577915376675,3.3700577915376675,-0.42024857934392124,-0.42024857934392124,-0.42024857934392124,-0.002318146321860096,-0.002318146321860096,-0.002318146321860096,-0.4179304330220612,-0.4179304330220612,-0.4179304330220612,0.0,0.0,0.0,2.9498092121937463
2009-01-22,3.3694866811145507,1.282212909110332,4.740519421296597,3.3694866811145507,3.3694866811145507,-0.40636847894255984,-0.40636847894255984,-0.40636847894255984,0.009747048000001528,0.009747048000001528,0.009747048000001528,-0.4161155269425614,-0.4161155269425614,-0.4161155269425614,0.0,0.0,0.0,2.963118202171991
2009-01-24,3.3683444602683177,1.3073766143810732,4.697636870535639,3.3683444602683177,3.3683444602683177,-0.37189884951912416,-0.37189884951912416,-0.37189884951912416,0.03833998216218262,0.03833998216218262,0.03833998216218262,-0.41023883168130676,-0.41023883168130676,-0.41023883168130676,0.0,0.0,0.0,2.9964456107491935
2009-01-25,3.3677733498452014,1.1375229668707758,4.670480088497233,3.3677733498452014,3.3677733498452014,-0.42393284084080674,-0.42393284084080674,-0.42393284084080674,-0.017271831660548537,-0.017271831660548537,-0.017271831660548537,-0.40666100918025816,-0.40666100918025816,-0.40666100918025816,0.0,0.0,0.0,2.943840509004395
2009-01-27,3.366631128998968,1.3010229830674944,4.555413626649888,3.366631128998968,3.366631128998968,-0.4876850390904398,-0.4876850390904398,-0.4876850390904398,-0.08824033370251025,-0.08824033370251025,-0.08824033370251025,-0.39944470538792953,-0.39944470538792953,-0.39944470538792953,0.0,0.0,0.0,2.878946089908528
2009-01-28,3.366060018575851,1.3132228321024288,4.6436540422315,3.366060018575851,3.366060018575851,-0.398590335368018,-0.398590335368018,-0.398590335368018,-0.002318146321831088,-0.002318146321831088,-0.002318146321831088,-0.39627218904618694,-0.39627218904618694,-0.39627218904618694,0.0,0.0,0.0,2.967469683207833
2009-01-29,3.3654889081527344,1.3302124906021793,4.759407190481807,3.3654889081527344,3.3654889081527344,-0.383928819721413,-0.383928819721413,-0.383928819721413,0.00974704799993918,0.00974704799993918,0.00974704799993918,-0.3936758677213522,-0.3936758677213522,-0.3936758677213522,0.0,0.0,0.0,2.9815600884313214
2009-01-30,3.3649177977296176,1.333917330608731,4.816190062678086,3.3649177977296176,3.3649177977296176,-0.31568016908334234,-0.31568016908334234,-0.31568016908334234,0.0761636613473809,0.0761636613473809,0.0761636613473809,-0.39184383043072324,-0.39184383043072324,-0.39184383043072324,0.0,0.0,0.0,3.0492376286462752
2009-01-31,3.3643466873065013,1.2646444637164225,4.91132691981618,3.3643466873065013,3.3643466873065013,-0.3525978720724917,-0.3525978720724917,-0.3525978720724917,0.03833998216228504,0.03833998216228504,0.03833998216228504,-0.3909378542347768,-0.3909378542347768,-0.3909378542347768,0.0,0.0,0.0,3.0117488152340095
2009-02-01,3.363775576883385,1.1789120990275708,4.623894795514842,3.363775576883385,3.363775576883385,-0.40836155572980526,-0.40836155572980526,-0.40836155572980526,-0.01727183166042818,-0.01727183166042818,-0.01727183166042818,-0.39108972406937703,-0.39108972406937703,-0.39108972406937703,0.0,0.0,0.0,2.9554140211535795
2009-02-02,3.3632044664602683,1.2542984091366118,4.814885581739519,3.3632044664602683,3.3632044664602683,-0.4088186705796939,-0.4088186705796939,-0.4088186705796939,-0.016420379824724635,-0.016420379824724635,-0.016420379824724635,-0.39239829075496924,-0.39239829075496924,-0.39239829075496924,0.0,0.0,0.0,2.954385795880574
2009-02-03,3.3626333560371515,1.084448642064067,4.5015609977671796,3.3626333560371515,3.3626333560371515,-0.4831676625991139,-0.4831676625991139,-0.4831676625991139,-0.08824033370252085,-0.08824033370252085,-0.08824033370252085,-0.39492732889659304,-0.39492732889659304,-0.39492732889659304,0.0,0.0,0.0,2.8794656934380374
2009-02-04,3.362062245614035,1.1945990363773875,4.594730794719056,3.362062245614035,3.362062245614035,-0.401022384215601,-0.401022384215601,-0.401022384215601,-0.002318146321751459,-0.002318146321751459,-0.002318146321751459,-0.39870423789384946,-0.39870423789384946,-0.39870423789384946,0.0,0.0,0.0,2.9610398613984343
2009-02-05,3.361491135190918,1.1538950021632353,4.75923849683803,3.361491135190918,3.361491135190918,-0.3939725618566987,-0.3939725618566987,-0.3939725618566987,0.009747048000031192,0.009747048000031192,0.009747048000031192,-0.40371960985672994,-0.40371960985672994,-0.40371960985672994,0.0,0.0,0.0,2.9675185733342193
2009-02-06,3.3609200247678013,1.0674208632767006,4.750493042984205,3.3609200247678013,3.3609200247678013,-0.333764006962373,-0.333764006962373,-0.333764006962373,0.07616366134713982,0.07616366134713982,0.07616366134713982,-0.4099276683095128,-0.4099276683095128,-0.4099276683095128,0.0,0.0,0.0,3.0271560178054284
2009-02-07,3.360348914344685,1.2717520033718155,4.6622549619960285,3.360348914344685,3.360348914344685,-0.3789075794559884,-0.3789075794559884,-0.3789075794559884,0.0383399821623038,0.0383399821623038,0.0383399821623038,-0.41724756161829224,-0.41724756161829224,-0.41724756161829224,0.0,0.0,0.0,2.9814413348886966
2009-02-08,3.3597778039215687,1.1365815413892808,4.716626442044282,3.3597778039215687,3.3597778039215687,-0.4428373072047938,-0.4428373072047938,-0.4428373072047938,-0.017271831660501176,-0.017271831660501176,-0.017271831660501176,-0.42556547554429264,-0.42556547554429264,-0.42556547554429264,0.0,0.0,0.0,2.9169404967167747
2009-02-11,3.358064472652219,0.9363871408196462,4.605579444030245,3.358064472652219,3.358064472652219,-0.45725809667333994,-0.45725809667333994,-0.45725809667333994,-0.0023181463218340647,-0.0023181463218340647,-0.0023181463218340647,-0.454939950351506,-0.454939950351506,-0.454939950351506,0.0,0.0,0.0,2.900806375978879
2009-02-13,3.356922251805985,1.2653511043625758,4.562632342715564,3.356922251805985,3.356922251805985,-0.4000883309532949,-0.4000883309532949,-0.4000883309532949,0.07616366134729007,0.07616366134729007,0.07616366134729007,-0.476251992300585,-0.476251992300585,-0.476251992300585,0.0,0.0,0.0,2.95683392085269
2009-02-14,3.3563511413828686,1.119232999426101,4.696896422012743,3.3563511413828686,3.3563511413828686,-0.44842413403893605,-0.44842413403893605,-0.44842413403893605,0.03833998216232257,0.03833998216232257,0.03833998216232257,-0.4867641162012587,-0.4867641162012587,-0.4867641162012587,0.0,0.0,0.0,2.9079270073439325
