ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-01-07,1.517724,0.5127800293175018,2.3259304715198437,1.517724,1.517724,-0.08621740725080972,-0.08621740725080972,-0.08621740725080972,-0.03589141298354703,-0.03589141298354703,-0.03589141298354703,-0.05032599426726268,-0.05032599426726268,-0.05032599426726268,0.0,0.0,0.0,1.4315065927491903
2009-01-09,1.5177308329083392,0.5917723899649604,2.472409336397294,1.5177308329083392,1.5177308329083392,-0.006434761245405442,-0.006434761245405442,-0.006434761245405442,0.06902673678663046,0.06902673678663046,0.06902673678663046,-0.0754614980320359,-0.0754614980320359,-0.0754614980320359,0.0,0.0,0.0,1.5112960716629338
2009-01-11,1.5177376658166783,0.5614413264578052,2.344146806429736,1.5177376658166783,1.5177376658166783,-0.0894151841233923,-0.0894151841233923,-0.0894151841233923,0.009775063594412284,0.009775063594412284,0.009775063594412284,-0.09919024771780457,-0.09919024771780457,-0.09919024771780457,0.0,0.0,0.0,1.428322481693286
2009-01-12,1.517741082270848,0.4683420462796911,2.3034143248822403,1.517741082270848,1.517741082270848,-0.16585587127526813,-0.16585587127526813,-0.16585587127526813,-0.05574100203900154,-0.05574100203900154,-0.05574100203900154,-0.11011486923626658,-0.11011486923626658,-0.11011486923626658,0.0,0.0,0.0,1.35188521099558
2009-01-16,1.5177547480875258,0.5687617497705832,2.3976368408356845,1.5177547480875258,1.5177547480875258,-0.07533305149113018,-0.07533305149113018,-0.07533305149113018,0.06902673678652327,0.06902673678652327,0.06902673678652327,-0.14435978827765344,-0.14435978827765344,-0.14435978827765344,0.0,0.0,0.0,1.4424216965963956
2009-01-17,1.5177581645416955,0.5185070493300875,2.3173873134044163,1.5177581645416955,1.5177581645416955,-0.07150542677750293,-0.07150542677750293,-0.07150542677750293,0.07855459075104572,0.07855459075104572,0.07855459075104572,-0.15006001752854867,-0.15006001752854867,-0.15006001752854867,0.0,0.0,0.0,1.4462527377641927
2009-01-18,1.517761580995865,0.5109576364979511,2.258160128231915,1.517761580995865,1.517761580995865,-0.14472074865672901,-0.14472074865672901,-0.14472074865672901,0.00977506359437133,0.00977506359437133,0.00977506359437133,-0.15449581225110035,-0.15449581225110035,-0.15449581225110035,0.0,0.0,0.0,1.3730408323391359
2009-01-21,1.5177718303583738,0.44397676037046113,2.2639605352013006,1.5177718303583738,1.5177718303583738,-0.19606707097946652,-0.19606707097946652,-0.19606707097946652,-0.03589141298350767,-0.03589141298350767,-0.03589141298350767,-0.16017565799595884,-0.16017565799595884,-0.16017565799595884,0.0,0.0,0.0,1.3217047593789073
2009-01-22,1.5177752468125432,0.4053339694787907,2.233837962512507,1.5177752468125432,1.5177752468125432,-0.19334543719074185,-0.19334543719074185,-0.19334543719074185,-0.03370799999998586,-0.03370799999998586,-0.03370799999998586,-0.15963743719075596,-0.15963743719075596,-0.15963743719075596,0.0,0.0,0.0,1.3244298096218012
2009-01-30,1.5178025784458995,0.5467742953111728,2.3949222127831473,1.5178025784458995,1.5178025784458995,-0.05680909689208481,-0.05680909689208481,-0.05680909689208481,0.06902673678646366,0.06902673678646366,0.06902673678646366,-0.12583583367854848,-0.12583583367854848,-0.12583583367854848,0.0,0.0,0.0,1.4609934815538146
2009-01-31,1.517805994900069,0.5383239099845408,2.334925367172182,1.517805994900069,1.517805994900069,-0.041465529246839036,-0.041465529246839036,-0.041465529246839036,0.07855459075106437,0.07855459075106437,0.07855459075106437,-0.12002011999790341,-0.12002011999790341,-0.12002011999790341,0.0,0.0,0.0,1.47634046565323
2009-02-02,1.5178128278084082,0.4218209706104776,2.188784435826247,1.5178128278084082,1.5178128278084082,-0.1646818714757094,-0.1646818714757094,-0.1646818714757094,-0.05574100203895574,-0.05574100203895574,-0.05574100203895574,-0.10894086943675366,-0.10894086943675366,-0.10894086943675366,0.0,0.0,0.0,1.3531309563326988
2009-02-04,1.517819660716747,0.46768443306907176,2.2371227468626245,1.517819660716747,1.517819660716747,-0.13530810469918111,-0.13530810469918111,-0.13530810469918111,-0.03589141298356906,-0.03589141298356906,-0.03589141298356906,-0.09941669171561207,-0.09941669171561207,-0.09941669171561207,0.0,0.0,0.0,1.3825115560175658
2009-02-05,1.5178230771709167,0.4469189113900003,2.303964689653777,1.5178230771709167,1.5178230771709167,-0.1291955115469096,-0.1291955115469096,-0.1291955115469096,-0.033708000000039505,-0.033708000000039505,-0.033708000000039505,-0.09548751154687013,-0.09548751154687013,-0.09548751154687013,0.0,0.0,0.0,1.388627565624007
2009-02-09,1.517836742987595,0.42624945351824184,2.372390162366544,1.517836742987595,1.517836742987595,-0.14242919474682797,-0.14242919474682797,-0.14242919474682797,-0.055741002038944054,-0.055741002038944054,-0.055741002038944054,-0.08668819270788393,-0.08668819270788393,-0.08668819270788393,0.0,0.0,0.0,1.375407548240767
2009-02-10,1.5178401594417643,0.4530134903572968,2.2979780571006256,1.5178401594417643,1.5178401594417643,-0.11833058161921592,-0.11833058161921592,-0.11833058161921592,-0.032015976109530664,-0.032015976109530664,-0.032015976109530664,-0.08631460550968528,-0.08631460550968528,-0.08631460550968528,0.0,0.0,0.0,1.3995095778225484
