ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-01-05,1.591288,0.575111091188278,2.3511346603539276,1.591288,1.591288,-0.12441144126255015,-0.12441144126255015,-0.12441144126255015,-0.024577680093056272,-0.024577680093056272,-0.024577680093056272,-0.09983376116949387,-0.09983376116949387,-0.09983376116949387,0.0,0.0,0.0,1.46687655873745
2009-01-10,1.5910110246085012,0.5280648816129285,2.338937104228407,1.5910110246085012,1.5910110246085012,-0.1579862539357892,-0.1579862539357892,-0.1579862539357892,-0.04116836837370973,-0.04116836837370973,-0.04116836837370973,-0.11681788556207945,-0.11681788556207945,-0.11681788556207945,0.0,0.0,0.0,1.433024770672712
2009-01-11,1.5909556295302014,0.6054780160414398,2.440058109292893,1.5909556295302014,1.5909556295302014,-0.05585242995043779,-0.05585242995043779,-0.05585242995043779,0.06212266239229003,0.06212266239229003,0.06212266239229003,-0.11797509234272782,-0.11797509234272782,-0.11797509234272782,0.0,0.0,0.0,1.5351031995797637
2009-01-13,1.5908448393736019,0.5430355379253266,2.398593207166371,1.5908448393736019,1.5908448393736019,-0.1244776223186497,-0.1244776223186497,-0.1244776223186497,-0.0061509875159233285,-0.0061509875159233285,-0.0061509875159233285,-0.11832663480272637,-0.11832663480272637,-0.11832663480272637,0.0,0.0,0.0,1.4663672170549522
2009-01-14,1.5907894442953021,0.5906094431078104,2.3653512810633037,1.5907894442953021,1.5907894442953021,-0.13508688192871635,-0.13508688192871635,-0.13508688192871635,-0.017423732739639215,-0.017423732739639215,-0.017423732739639215,-0.11766314918907712,-0.11766314918907712,-0.11766314918907712,0.0,0.0,0.0,1.4557025623665858
2009-01-16,1.5906786541387026,0.5623130693239287,2.379060522627541,1.5906786541387026,1.5906786541387026,-0.11674322289644226,-0.11674322289644226,-0.11674322289644226,-0.0016382936697489116,-0.0016382936697489116,-0.0016382936697489116,-0.11510492922669337,-0.11510492922669337,-0.11510492922669337,0.0,0.0,0.0,1.4739354312422603
2009-01-17,1.5906232590604028,0.47409571500618697,2.3585494193620993,1.5906232590604028,1.5906232590604028,-0.1545834839012148,-0.1545834839012148,-0.1545834839012148,-0.04116836837371839,-0.04116836837371839,-0.04116836837371839,-0.11341511552749639,-0.11341511552749639,-0.11341511552749639,0.0,0.0,0.0,1.436039775159188
2009-01-19,1.5905124689038033,0.5802959279510613,2.3789313999356176,1.5905124689038033,1.5905124689038033,-0.13433395625527428,-0.13433395625527428,-0.13433395625527428,-0.024577680093159627,-0.024577680093159627,-0.024577680093159627,-0.10975627616211465,-0.10975627616211465,-0.10975627616211465,0.0,0.0,0.0,1.456178512648529
2009-01-20,1.5904570738255035,0.4652572957278802,2.384622542636782,1.5904570738255035,1.5904570738255035,-0.11415386395867262,-0.11415386395867262,-0.11415386395867262,-0.006150987515945856,-0.006150987515945856,-0.006150987515945856,-0.10800287644272676,-0.10800287644272676,-0.10800287644272676,0.0,0.0,0.0,1.476303209866831
2009-01-22,1.5903462836689037,0.6743535640608435,2.386293193595228,1.5903462836689037,1.5903462836689037,-0.0763096460188359,-0.0763096460188359,-0.0763096460188359,0.02883640000001435,0.02883640000001435,0.02883640000001435,-0.10514604601885025,-0.10514604601885025,-0.10514604601885025,0.0,0.0,0.0,1.5140366376500678
2009-01-23,1.590290888590604,0.5610658208887416,2.4542697317942888,1.590290888590604,1.590290888590604,-0.10585099961504217,-0.10585099961504217,-0.10585099961504217,-0.0016382936697271599,-0.0016382936697271599,-0.0016382936697271599,-0.10421270594531501,-0.10421270594531501,-0.10421270594531501,0.0,0.0,0.0,1.484439888975562
2009-01-24,1.5902354935123042,0.5449984486994464,2.3283898080924685,1.5902354935123042,1.5902354935123042,-0.14486871008304283,-0.14486871008304283,-0.14486871008304283,-0.04116836837355989,-0.04116836837355989,-0.04116836837355989,-0.10370034170948296,-0.10370034170948296,-0.10370034170948296,0.0,0.0,0.0,1.4453667834292614
2009-01-25,1.5901800984340044,0.6468541073804677,2.5051712516420426,1.5901800984340044,1.5901800984340044,-0.04153422620424474,-0.04153422620424474,-0.04153422620424474,0.062122662392308736,0.062122662392308736,0.062122662392308736,-0.10365688859655348,-0.10365688859655348,-0.10365688859655348,0.0,0.0,0.0,1.5486458722297596
2009-01-28,1.5900139131991051,0.5741238961478294,2.353256549182794,1.5900139131991051,1.5900139131991051,-0.123960823546524,-0.123960823546524,-0.123960823546524,-0.01742373273967531,-0.01742373273967531,-0.01742373273967531,-0.1065370908068487,-0.1065370908068487,-0.1065370908068487,0.0,0.0,0.0,1.4660530896525812
2009-01-30,1.5899031230425056,0.6202221125424208,2.3772199356689474,1.5899031230425056,1.5899031230425056,-0.11244988121221101,-0.11244988121221101,-0.11244988121221101,-0.001638293669851047,-0.001638293669851047,-0.001638293669851047,-0.11081158754235997,-0.11081158754235997,-0.11081158754235997,0.0,0.0,0.0,1.4774532418302946
2009-01-31,1.5898477279642058,0.4967469320171168,2.2656736402335094,1.5898477279642058,1.5898477279642058,-0.15467194489001576,-0.15467194489001576,-0.15467194489001576,-0.04116836837364948,-0.04116836837364948,-0.04116836837364948,-0.11350357651636628,-0.11350357651636628,-0.11350357651636628,0.0,0.0,0.0,1.43517578307419
