ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-01-01,2.37502,0.8799395934703971,3.7587796902823754,2.37502,2.37502,-0.031760479702865815,-0.031760479702865815,-0.031760479702865815,-0.029149299999986555,-0.029149299999986555,-0.029149299999986555,-0.002611179702879259,-0.002611179702879259,-0.002611179702879259,0.0,0.0,0.0,2.3432595202971345
2009-01-04,2.374825064499484,0.9372467207518338,3.7792158921673042,2.374825064499484,2.374825064499484,-0.04737661006789623,-0.04737661006789623,-0.04737661006789623,-0.01996356782721129,-0.01996356782721129,-0.01996356782721129,-0.027413042240684946,-0.027413042240684946,-0.027413042240684946,0.0,0.0,0.0,2.327448454431588
2009-01-05,2.374760085999312,0.6894367083756937,3.7440483684255565,2.374760085999312,2.374760085999312,-0.07789070092826748,-0.07789070092826748,-0.07789070092826748,-0.04111317592419943,-0.04111317592419943,-0.04111317592419943,-0.036777525004068064,-0.036777525004068064,-0.036777525004068064,0.0,0.0,0.0,2.2968693850710444
2009-01-06,2.37469510749914,0.9114878578273992,3.71149231767606,2.37469510749914,2.37469510749914,-0.07778740486019028,-0.07778740486019028,-0.07778740486019028,-0.03127482950575736,-0.03127482950575736,-0.03127482950575736,-0.04651257535443293,-0.04651257535443293,-0.04651257535443293,0.0,0.0,0.0,2.2969077026389497
2009-01-07,2.3746301289989677,0.8526495858930514,3.761157334865448,2.3746301289989677,2.3746301289989677,-0.04827613010983056,-0.04827613010983056,-0.04827613010983056,0.008220094675982071,0.008220094675982071,0.008220094675982071,-0.056496224785812635,-0.056496224785812635,-0.056496224785812635,0.0,0.0,0.0,2.3263539988891373
2009-01-08,2.3745651504987957,0.8331455173349456,3.7322785357676755,2.3745651504987957,2.3745651504987957,-0.09575016834253129,-0.09575016834253129,-0.09575016834253129,-0.029149300000005055,-0.029149300000005055,-0.029149300000005055,-0.06660086834252622,-0.06660086834252622,-0.06660086834252622,0.0,0.0,0.0,2.2788149821562644
2009-01-09,2.374500171998624,0.9430305282903312,3.7962542076518564,2.374500171998624,2.374500171998624,-0.018913426753938853,-0.018913426753938853,-0.018913426753938853,0.057783250773372694,0.057783250773372694,0.057783250773372694,-0.07669667752731155,-0.07669667752731155,-0.07669667752731155,0.0,0.0,0.0,2.3555867452446853
2009-01-10,2.374435193498452,0.9435932408023368,3.8092030778753783,2.374435193498452,2.374435193498452,-0.03115752262493575,-0.03115752262493575,-0.03115752262493575,0.05549752780771111,0.05549752780771111,0.05549752780771111,-0.08665505043264686,-0.08665505043264686,-0.08665505043264686,0.0,0.0,0.0,2.3432776708735163
2009-01-11,2.37437021499828,0.8479803971670882,3.704379752548607,2.37437021499828,2.37437021499828,-0.11631556405174852,-0.11631556405174852,-0.11631556405174852,-0.01996356782716788,-0.01996356782716788,-0.01996356782716788,-0.09635199622458063,-0.09635199622458063,-0.09635199622458063,0.0,0.0,0.0,2.2580546509465313
2009-01-12,2.374305236498108,0.7760265649969059,3.672728804153612,2.374305236498108,2.374305236498108,-0.1467845301209591,-0.1467845301209591,-0.1467845301209591,-0.041113175924162734,-0.041113175924162734,-0.041113175924162734,-0.10567135419679637,-0.10567135419679637,-0.10567135419679637,0.0,0.0,0.0,2.227520706377149
2009-01-13,2.3742402579979363,0.8741951858094934,3.580911279045083,2.3742402579979363,2.3742402579979363,-0.14578258319614829,-0.14578258319614829,-0.14578258319614829,-0.03127482950568312,-0.03127482950568312,-0.03127482950568312,-0.11450775369046515,-0.11450775369046515,-0.11450775369046515,0.0,0.0,0.0,2.228457674801788
2009-01-15,2.374110300997592,0.7663318199338852,3.5487007629219933,2.374110300997592,2.374110300997592,-0.15952872289984948,-0.15952872289984948,-0.15952872289984948,-0.0291492999999794,-0.0291492999999794,-0.0291492999999794,-0.1303794228998701,-0.1303794228998701,-0.1303794228998701,0.0,0.0,0.0,2.2145815780977425
2009-01-16,2.37404532249742,0.8503134649279015,3.694278822969808,2.37404532249742,2.37404532249742,-0.07949604641606732,-0.07949604641606732,-0.07949604641606732,0.05778325077327021,0.05778325077327021,0.05778325077327021,-0.13727929718933754,-0.13727929718933754,-0.13727929718933754,0.0,0.0,0.0,2.294549276081353
2009-01-17,2.373980343997248,0.8340005628513049,3.773119730226911,2.373980343997248,2.373980343997248,-0.08793081327925537,-0.08793081327925537,-0.08793081327925537,0.05549752780770896,0.05549752780770896,0.05549752780770896,-0.14342834108696434,-0.14342834108696434,-0.14342834108696434,0.0,0.0,0.0,2.2860495307179924
2009-01-19,2.373850386996904,0.6261427625302738,3.6119774922967474,2.373850386996904,2.373850386996904,-0.19452100095075603,-0.19452100095075603,-0.19452100095075603,-0.041113175924235607,-0.041113175924235607,-0.041113175924235607,-0.15340782502652045,-0.15340782502652045,-0.15340782502652045,0.0,0.0,0.0,2.179329386046148
2009-01-20,2.373785408496732,0.7291962535247787,3.686038884980048,2.373785408496732,2.373785408496732,-0.18852769923996787,-0.18852769923996787,-0.18852769923996787,-0.03127482950574112,-0.03127482950574112,-0.03127482950574112,-0.15725286973422678,-0.15725286973422678,-0.15725286973422678,0.0,0.0,0.0,2.185257709256764
